Speed Records	음악	3020만	/youtube/channel/UCOsyDsO5tIt-VZ1iwjdQmew
VEGETTA777	게임	3010만	/youtube/channel/UCam8T03EOFBsNdR0thrFHdQ
LooLoo Kids - Nursery Rhymes and Children's Songs	음악	2980만	/youtube/channel/UC4NALVCmcmL5ntpV0thoH6w
Little Baby Bum - Nursery Rhymes & Kids Songs	교육	2980만	/youtube/channel/UCKAqou7V9FAWXpZd9xtOg3Q
SonyMusicIndiaVEVO	음악	2970만	/youtube/channel/UC3MLnJtqc_phABBriLRhtgQ
Daddy Yankee	음악	2970만	/youtube/channel/UC9TO_oo4c_LrOiKNaY6aysA
Маша и Медведь	영화/애니메이션	2970만	/youtube/channel/UCRv76wLBC73jiP7LX4C3l8Q
T-Series Bhakti Sagar	음악	2950만	/youtube/channel/UCaayLD9i5x4MmIoVZxXSv_g
WorkpointOfficial	엔터테인먼트뉴스/정치	2930만	/youtube/channel/UC3ZkCd7XtUREnjjt3cyY_gg
GR6 EXPLODE	음악	2930만	/youtube/channel/UCNUQK9mQoqi4yNXw2_Rj6SA
Shakira	인물/블로그	2920만	/youtube/channel/UCYLNGLIzMhRTi6ZOLjAPSmw
Like Nastya Show	엔터테인먼트	2920만	/youtube/channel/UCS94J1s6-qc8v7btCdS2pNg
Trap Nation	음악	2870만	/youtube/channel/UCa10nxShhzNrCE1o2ZOPztg
Tips Official	음악	2870만	/youtube/channel/UCJrDMFOdv1I2k8n9oK_V21w
Ozuna	음악	2810만	/youtube/channel/UCjIA3wwhi0QjSOXAZwOXbPA
Luis Fonsi	엔터테인먼트	2740만	/youtube/channel/UCxoq-PAQeAdk_zyg8YS0JqA
ABS-CBN Entertainment	엔터테인먼트	2740만	/youtube/channel/UCstEtN0pgOmCf02EdXsGChw
Bruno Mars	음악	2730만	/youtube/channel/UCoUM-UJ7rirJYP8CQ0EIaHA
rezendeevil	엔터테인먼트	2720만	/youtube/channel/UCbTVTephX30ZhQF5zwFppBg
Spinnin' Records	음악	2720만	/youtube/channel/UCpDJl2EmP7Oh90Vylx0dZtA
TaylorSwiftVEVO	음악	2670만	/youtube/channel/UCANLZYMidaCbLQFWXBC95Jg
NoCopyrightSounds	음악	2620만	/youtube/channel/UC_aEa8K-EOJ3D6gOs7HcyNg
Markiplier	게임	2590만	/youtube/channel/UC7_YxT-KID8kRbqZo7MyscQ
J Balvin	음악	2580만	/youtube/channel/UCt-k6JwNWHMXDBGm9IYHdsg
RihannaVEVO	음악	2570만	/youtube/channel/UC2xskkQVFEpLcGFnNSLQY0A
EminemVEVO	음악	2560만	/youtube/channel/UC20vb-R_px4CguHzzBPhoyQ
Bad Bunny	음악	2560만	/youtube/channel/UCmBA_wu8xGg1OfOkfW13Q0Q
XXXTENTACION	음악	2560만	/youtube/channel/UCM9r1xn6s30OnlJWb-jc3Sw
Selena Gomez	영화/애니메이션	2560만	/youtube/channel/UCPNxhDvTcytIdvwXWAm43cA
Shawn Mendes	음악	2550만	/youtube/channel/UCAvCL8hyXjSUHKEGuUPr1BA
KatyPerryVEVO	음악	2550만	/youtube/channel/UC-8Q-hLdECwQmaWNwXitYDw
Colors TV	엔터테인먼트	2530만	/youtube/channel/UC55IWqFLDH1Xp7iu1_xknRA
BST Kids - Nursery Rhymes & Songs	교육	2530만	/youtube/channel/UCRx3mKNUdl8QE06nEug7p6Q
ToyPudding TV	엔터테인먼트	2530만	/youtube/channel/UCKqx9r4mrFglauNBJc1L_eg
Ryan's World	엔터테인먼트	2520만	/youtube/channel/UChGJGhZ9SOOHvBB0Y4DOO_w
Smosh	코미디	2510만	/youtube/channel/UCY30JRSgfhYXA6i6xX1erWg
TEDx Talks	봉사활동	2510만	/youtube/channel/UCsT0YIqwnpJCM-mx7-gSA4Q
VanossGaming	게임	2510만	/youtube/channel/UCKqH_9mk1waLgBiL2vT5b9g
The Tonight Show Starring Jimmy Fallon	코미디	2500만	/youtube/channel/UC8-Th83bH_thdKZDJCrn88g
Boram Tube Vlog [보람튜브 브이로그]	엔터테인먼트	2490만	/youtube/channel/UCU2zNeYhf9pi_wSqFbYE96w
GENIAL	노하우/스타일	2450만	/youtube/channel/UCbrd1vu4_7qIE6IPV_dA-OA
Yuya	노하우/스타일	2450만	/youtube/channel/UCBNs31xysxpAGMheg8OrngA
ABP NEWS	뉴스/정치	2430만	/youtube/channel/UCRWFSbif-RFENbBrSiez1DA
jacksepticeye	게임코미디	2410만	/youtube/channel/UCYzPXprvl5Y-Sf0g4vX-m6g
CVS 3D Rhymes & Kids Songs	교육	2390만	/youtube/channel/UCsPF3cApzCohxPp5oKdoWSQ
The Late Late Show with James Corden	엔터테인먼트	2390만	/youtube/channel/UCJ0uqCI0Vqr2Rrt1HseGirg
one31	뉴스/정치엔터테인먼트	2360만	/youtube/channel/UC8f7MkX4MFOOJ2SerXLInCA
